Fahrten,Namen
2315,120 (PostAuto AG)
172,226 (PostAuto AG)
135,S4 (Schweizerische Südostbahn (sob))
112,222 (PostAuto AG)
73,2 (Verkehrsbetriebe der Stadt St.Gallen)
69,121 (PostAuto AG)
67,4 (Verkehrsbetriebe der Stadt St.Gallen)
58,S21 (Appenzeller Bahnen (ab))
52,VAE (Schweizerische Südostbahn (sob))
50,151 (Regiobus Gossau SG)
50,S1 (THURBO)
49,S25 (Appenzeller Bahnen (ab))
43,IC1 (Schweizerische Bundesbahnen SBB)
41,229 (PostAuto AG)
40,1 (Verkehrsbetriebe der Stadt St.Gallen)
38,RE1 (THURBO)
35,242 (PostAuto AG)
33,254 (PostAuto AG)
29,172 (Verkehrsbetriebe Herisau)
25,IR13 (Schweizerische Bundesbahnen SBB)
