Fahrten,Namen
574,S2 (THURBO)
451,S4 (Schweizerische Südostbahn (sob))
226,RE1 (THURBO)
142,VAE (Schweizerische Südostbahn (sob))
88,S81 (Schweizerische Südostbahn (sob))
85,S23 (Appenzeller Bahnen (ab))
52,S1 (THURBO)
44,5 (Verkehrsbetriebe der Stadt St.Gallen)
41,1 (Verkehrsbetriebe der Stadt St.Gallen)
39,S5 (THURBO)
32,4 (Verkehrsbetriebe der Stadt St.Gallen)
28,158 (Regiobus Gossau SG)
24,IR13 (Schweizerische Bundesbahnen SBB)
22,6 (Verkehrsbetriebe der Stadt St.Gallen)
22,172 (Verkehrsbetriebe Herisau)
21,182 (PostAuto AG)
16,180 (PostAuto AG)
15,152 (Regiobus Gossau SG)
15,201 (PostAuto AG)
14,7 (Verkehrsbetriebe der Stadt St.Gallen)
