Fahrten,Namen
7224,Herisau - St. Gallen
1147,Gaiserwald - Herisau
962,Gossau (SG) - Herisau
698,Degersheim - St. Gallen
567,Neckertal - St. Gallen
506,St. Gallen - Waldstatt
374,St. Gallen - Urnäsch
373,Appenzell - St. Gallen
348,Herisau - Wittenbach
300,Goldach - Herisau
272,Arbon - Herisau
253,Schwellbrunn - St. Gallen
244,Herisau - Speicher
203,Herisau - Rorschach
201,Heiden - Herisau
187,Schönengrund - St. Gallen
167,Herisau - Kirchberg (SG)
163,Appenzell - Gaiserwald
155,Nesslau - St. Gallen
147,Hemberg - St. Gallen
