Fahrten,Namen
640,Herisau - St. Gallen
370,Degersheim - St. Gallen
120,Nesslau - St. Gallen
105,Neckertal - St. Gallen
65,Herisau - Romanshorn
59,Herisau - Wittenbach
51,St. Gallen - Urnäsch
47,Ebnat-Kappel - St. Gallen
46,St. Gallen - Waldstatt
43,Herisau - Zürich
33,Herisau - Rorschach
33,Goldach - Herisau
20,Herisau - Kirchberg (SG)
19,Herisau - St. Margrethen
18,Chur - Herisau
17,St. Gallen - Wildhaus-Alt St. Johann
17,Herisau - Thal
16,Arbon - Degersheim
15,Degersheim - Goldach
15,Gossau (SG) - Urnäsch
