Fahrten,Namen
54,S2 (THURBO)
43,IR13 (Schweizerische Bundesbahnen SBB)
18,300 (Bus Ostschweiz (Rheintal))
8,IR13 (Schweizerische Südostbahn (sob))
8,304 (Bus Ostschweiz (Rheintal))
5,S21 (Appenzeller Bahnen (ab))
5,S24 (Appenzeller Bahnen (ab))
5,5 (Verkehrsbetriebe der Stadt St.Gallen)
4,3 (Verkehrsbetriebe der Stadt St.Gallen)
4,1 (Verkehrsbetriebe der Stadt St.Gallen)
4,IC3 (Schweizerische Bundesbahnen SBB)
4,S4 (Schweizerische Südostbahn (sob))
4,VAE (Schweizerische Südostbahn (sob))
3,S23 (Appenzeller Bahnen (ab))
3,RE1 (THURBO)
2,8 (Verkehrsbetriebe der Stadt St.Gallen)
2,S12 (Schweizerische Bundesbahnen SBB)
2,770 (Busbetrieb Lichtensteig-Wattwil-Ebnat-Kappel)
2,321 (Bus Ostschweiz (Rheintal))
1,S1 (THURBO)
