Fahrten,Namen
397,S24 (Appenzeller Bahnen (ab))
280,S21 (Appenzeller Bahnen (ab))
206,IR13 (Schweizerische Bundesbahnen SBB)
189,S2 (THURBO)
146,300 (Bus Ostschweiz (Rheintal))
113,321 (Bus Ostschweiz (Rheintal))
67,S23 (Appenzeller Bahnen (ab))
66,S4 (Schweizerische Südostbahn (sob))
65,IR13 (Schweizerische Südostbahn (sob))
41,335 (Bus Ostschweiz (Rheintal))
28,301 (Bus Ostschweiz (Rheintal))
27,331 (Bus Ostschweiz (Rheintal))
23,S22 (Appenzeller Bahnen (ab))
21,304 (Bus Ostschweiz (Rheintal))
21,RE1 (THURBO)
18,332 (Bus Ostschweiz (Rheintal))
16,226 (PostAuto AG)
14,180 (PostAuto AG)
14,B24 (Automobildienst Appenzeller Bahnen)
13,333 (Bus Ostschweiz (Rheintal))
