Fahrten,Namen
890,Appenzell - Herisau
405,Appenzell - Gossau (SG)
323,Appenzell - St. Gallen
162,Appenzell - Gaiserwald
147,Appenzell - Waldstatt
136,Appenzell - Hundwil
124,Appenzell - Kirchberg (SG)
114,Gais - Herisau
104,Appenzell - Zürich
100,Altstätten - Herisau
100,Herisau - Rüte
96,Appenzell - Flawil
85,Appenzell - Oberuzwil
65,Appenzell - Winterthur
65,Rüte - St. Gallen
60,Appenzell - Schwellbrunn
48,Appenzell - Uzwil
45,Appenzell - Frauenfeld
44,Appenzell - Neckertal
44,Gossau (SG) - Rüte
