Fahrten,Namen
108,S23 (Appenzeller Bahnen (ab))
51,S21 (Appenzeller Bahnen (ab))
47,IR13 (Schweizerische Bundesbahnen SBB)
47,IC1 (Schweizerische Bundesbahnen SBB)
34,VAE (Schweizerische Südostbahn (sob))
22,IC5 (Schweizerische Bundesbahnen SBB)
17,S12 (Schweizerische Bundesbahnen SBB)
16,IR13 (Schweizerische Südostbahn (sob))
15,RE1 (THURBO)
12,S4 (Schweizerische Südostbahn (sob))
10,S2 (THURBO)
7,S1 (THURBO)
6,S5 (THURBO)
6,S5 (Schweizerische Bundesbahnen SBB)
5,14 (Verkehrsbetriebe Zürich INFO+)
4,151 (Regiobus Gossau SG)
4,EC (Schweizerische Bundesbahnen SBB)
4,S11 (Schweizerische Bundesbahnen SBB)
3,IR35 (Schweizerische Südostbahn (sob))
3,S6 (Schweizerische Südostbahn (sob))
