Fahrten,Namen
3251,S23 (Appenzeller Bahnen (ab))
1116,182 (PostAuto AG)
953,180 (PostAuto AG)
838,S21 (Appenzeller Bahnen (ab))
657,S2 (THURBO)
523,174 (Verkehrsbetriebe Herisau)
485,S5 (THURBO)
483,S4 (Schweizerische Südostbahn (sob))
378,IR13 (Schweizerische Bundesbahnen SBB)
378,S1 (THURBO)
265,IC1 (Schweizerische Bundesbahnen SBB)
239,158 (Regiobus Gossau SG)
225,792 (PostAuto AG)
224,RE1 (THURBO)
211,4 (Verkehrsbetriebe der Stadt St.Gallen)
168,S81 (Schweizerische Südostbahn (sob))
164,VAE (Schweizerische Südostbahn (sob))
162,151 (Regiobus Gossau SG)
137,191 (PostAuto AG)
126,172 (Verkehrsbetriebe Herisau)
