Fahrten,Namen
380,S23 (Appenzeller Bahnen (ab))
139,S2 (THURBO)
107,VAE (Schweizerische Südostbahn (sob))
84,IR13 (Schweizerische Bundesbahnen SBB)
82,S4 (Schweizerische Südostbahn (sob))
77,S21 (Appenzeller Bahnen (ab))
60,IC1 (Schweizerische Bundesbahnen SBB)
52,180 (PostAuto AG)
50,RE1 (THURBO)
42,182 (PostAuto AG)
36,S81 (Schweizerische Südostbahn (sob))
29,S5 (THURBO)
28,IC5 (Schweizerische Bundesbahnen SBB)
24,S1 (THURBO)
23,S12 (Schweizerische Bundesbahnen SBB)
16,172 (Verkehrsbetriebe Herisau)
14,IR13 (Schweizerische Südostbahn (sob))
13,151 (Regiobus Gossau SG)
11,770 (Busbetrieb Lichtensteig-Wattwil-Ebnat-Kappel)
10,S5 (Schweizerische Bundesbahnen SBB)
