Fahrten,Namen
4230,S21 (Appenzeller Bahnen (ab))
739,S22 (Appenzeller Bahnen (ab))
725,180 (PostAuto AG)
712,S23 (Appenzeller Bahnen (ab))
459,191 (PostAuto AG)
404,4 (Verkehrsbetriebe der Stadt St.Gallen)
378,S1 (THURBO)
316,S81 (Schweizerische Südostbahn (sob))
273,1 (Verkehrsbetriebe der Stadt St.Gallen)
265,S4 (Schweizerische Südostbahn (sob))
255,S2 (THURBO)
241,S5 (THURBO)
231,IR13 (Schweizerische Bundesbahnen SBB)
222,7 (Verkehrsbetriebe der Stadt St.Gallen)
147,201 (PostAuto AG)
145,RE1 (THURBO)
142,300 (Bus Ostschweiz (Rheintal))
114,151 (Regiobus Gossau SG)
111,3 (Verkehrsbetriebe der Stadt St.Gallen)
107,2 (Verkehrsbetriebe der Stadt St.Gallen)
