Fahrten,Namen
1357,Speicher - St. Gallen
884,St. Gallen - Trogen
97,Oberegg - St. Gallen
81,Schlatt-Haslen - St. Gallen
74,St. Gallen - Wald (AR)
72,Herisau - Trogen
57,St. Gallen - Teufen (AR)
45,Rehetobel - St. Gallen
45,Gaiserwald - Trogen
44,Altstätten - St. Gallen
34,Gaiserwald - Speicher
33,Speicher - Wittenbach
29,Gossau (SG) - Speicher
28,Gossau (SG) - Trogen
28,Speicher - Zuzwil (SG)
26,Trogen - Wittenbach
24,Heiden - St. Gallen
21,Herisau - Speicher
20,Flawil - Speicher
14,Speicher - Waldkirch
