Fahrten,Namen
365,Heiden - St. Margrethen
261,Heiden - Lutzenberg
125,Lutzenberg - St. Gallen
85,Lutzenberg - St. Margrethen
62,Heiden - Rheineck
55,St. Margrethen - Wolfhalden
49,Lutzenberg - Rorschach
45,Lutzenberg - Oberegg
44,Rheineck - Wolfhalden
42,Lutzenberg - Rorschacherberg
40,Au (SG) - Lutzenberg
32,Lutzenberg - Walzenhausen
30,Lutzenberg - Trogen
27,Eggersriet - St. Margrethen
26,Grub (AR) - St. Margrethen
23,Diepoldsau - Heiden
22,Heiden - Oberriet (SG)
20,Eggersriet - Lutzenberg
16,Grub (AR) - Lutzenberg
16,Lutzenberg - Wolfhalden
