Fahrten,Namen
1652,S21 (Appenzeller Bahnen (ab))
383,S23 (Appenzeller Bahnen (ab))
243,S20 (Appenzeller Bahnen (ab))
143,S24 (Appenzeller Bahnen (ab))
127,191 (PostAuto AG)
99,IR13 (Schweizerische Bundesbahnen SBB)
97,S4 (Schweizerische Südostbahn (sob))
89,331 (Bus Ostschweiz (Rheintal))
82,S2 (THURBO)
66,192 (PostAuto AG)
55,120 (PostAuto AG)
53,IR13 (Schweizerische Südostbahn (sob))
49,300 (Bus Ostschweiz (Rheintal))
47,190 (PostAuto AG)
44,180 (PostAuto AG)
35,321 (Bus Ostschweiz (Rheintal))
28,121 (PostAuto AG)
28,RE1 (THURBO)
27,S22 (Appenzeller Bahnen (ab))
25,S81 (Schweizerische Südostbahn (sob))
